,종목명,종목코드,기업코드,수정일
0,지놈앤컴퍼니,314130,01276026,20210216
1,웹젠,069080,00405320,20210215
2,우리넷,115440,00664048,20210217
3,마이크로디지탈,305090,01267967,20210217
4,나노,187790,00994994,20210216
5,손오공,066910,00306870,20210216
6,새로닉스,042600,00147994,20210217
7,피씨디렉트,051380,00297934,20210217
8,이큐셀,160600,00818472,20210125
9,케이엠제약,225430,01095704,20210126
10,교보9호스팩,331520,01398151,20210126
11,네추럴FNP,086220,00523176,20210217
12,로보로보,215100,01063990,20210217
13,DSR제강,069730,00151298,20210215
14,교보10호기업인수목적,355150,01476219,20210126
15,아이비김영,339950,01414422,20210217
16,메디안디노스틱,233250,01035942,20210215
17,미래에셋맵스리츠,357250,01437292,20210127
18,한국정밀기계,101680,00257732,20210128
19,비비씨,318410,01153105,20210217
20,삼기,122350,00799177,20210217
21,씨앤에스링크,245450,01116380,20210217
22,유나이티드,033270,00158963,20210215
23,지니언스,263860,00962223,20210215
24,파라텍,033540,00105138,20210105
25,예스코홀딩스,015360,00105101,20210105
26,시노펙스,025320,00203023,20210105
27,모나리자,012690,00173102,20210215
28,티웨이홀딩스,004870,00109514,20210215
29,씨앤지하이테크,264660,00605328,20210215
30,삼화왕관,004450,00129235,20210215
31,백산,035150,00122551,20210215
32,피엔에이치테크,239890,01112889,20210216
33,비엔디생활건강,215050,01055317,20210112
34,하림지주,003380,00148364,20210204
35,에스코넥,096630,00573269,20210217
36,삼성제약,001360,00126414,20210217
37,화인베스틸,133820,00661847,20210217
38,극동전선,006250,00105165,20210215
39,퓨쳐스트림네트웍스,214270,01061497,20210215
40,CNH,023460,00149266,20210215
41,세아메탈,033020,00206084,20210216
42,아모텍,052710,00298447,20210216
43,삼영이엔씨,065570,00288343,20210127
44,선진뷰티사이언스,086710,00132202,20210127
45,SK케미칼,285130,01267170,20210216
46,삼성카드,029780,00126292,20210111
47,코리아센터,290510,00540340,20210216
48,대상홀딩스,084690,00539274,20210216
49,TJ미디어,032540,00201733,20210128
50,애니젠,196300,00808086,20210216
51,엠투아이,347890,00670766,20210215
52,흥국화재,000540,00103176,20210129
53,인터엠,017250,00145914,20210202
54,유진스팩4호,321260,01359736,20210202
55,유진스팩5호,331380,01393721,20210202
56,에스씨엠생명과학,298060,01110474,20210216
57,이트론,096040,00480756,20210215
58,이지스레지던스리츠,350520,01436628,20210215
59,이녹스첨단소재,272290,01237540,20210217
60,바이오리더스,142760,00587925,20210217
61,넥스지,081970,00584362,20210208
62,화천기계,010660,00166500,20210216
63,원익머트리얼즈,104830,00623661,20210216
64,티씨엠생명과학,228180,01067242,20210216
65,멜파스,096640,00609315,20210128
66,부광약품,003000,00123718,20210205
67,케이티스카이라이프,053210,00349097,20210216
68,아바코,083930,00442145,20210216
69,위월드,140660,00663289,20210216
70,한국토지신탁,034830,00233653,20210215
71,미원화학,134380,00855163,20210205
