종목명,분기,기업코드,유동자산,부채총계,청산가치
지놈앤컴퍼니,2021년 1분기 보고서,01276026,99444117279,5760122962,93683994317
웹젠,2021년 1분기 보고서,00405320,314276519067,94382174001,219894345066
우리넷,2021년 1분기 보고서,00664048,74625085569,37563510513,37061575056
마이크로디지탈,2021년 1분기 보고서,01267967,9950472707,10294936016,-344463309
나노,2021년 1분기 보고서,00994994,28248401252,27111418730,1136982522
손오공,2021년 1분기 보고서,00306870,29146591971,16129794502,13016797469
새로닉스,2021년 1분기 보고서,00147994,18118292184,38307850915,-20189558731
피씨디렉트,2021년 1분기 보고서,00297934,82359213054,43373420759,38985792295
케이엠제약,2021년 1분기 보고서,01095704,12922269436,15139792736,-2217523300
로보로보,2021년 1분기 보고서,01063990,14444134397,970676611,13473457786
DSR제강,2021년 1분기 보고서,00151298,87121944467,64008526208,23113418259
아이비김영,2021년 1분기 보고서,01414422,15738746337,25935889052,-10197142715
한국정밀기계,2021년 1분기 보고서,00257732,51275725675,30526792225,20748933450
비비씨,2021년 1분기 보고서,01153105,28828621011,3789795411,25038825600
삼기,2021년 1분기 보고서,00799177,146108875018,288903971057,-142795096039
유나이티드,2021년 1분기 보고서,00158963,194670977157,85448895356,109222081801
지니언스,2021년 1분기 보고서,00962223,27070846233,7706268189,19364578044
파라텍,2021년 1분기 보고서,00105138,65183491466,53192442179,11991049287
예스코홀딩스,2021년 1분기 보고서,00105101,225192404000,138203978000,86988426000
시노펙스,2021년 1분기 보고서,00203023,49666048699,61163433967,-11497385268
모나리자,2021년 1분기 보고서,00173102,35914997626,20727599894,15187397732
티웨이홀딩스,2021년 1분기 보고서,00109514,14899954895,43525168751,-28625213856
씨앤지하이테크,2021년 1분기 보고서,00605328,62199444980,15711865365,46487579615
삼화왕관,2021년 1분기 보고서,00129235,46300735991,86977147479,-40676411488
백산,2021년 1분기 보고서,00122551,119465079925,119264124737,200955188
피엔에이치테크,2021년 1분기 보고서,01112889,20438949135,12471244868,7967704267
하림지주,2021년 1분기 보고서,00148364,66403117423,683022735689,-616619618266
에스코넥,2021년 1분기 보고서,00573269,49052861270,61486649974,-12433788704
삼성제약,2021년 1분기 보고서,00126414,93677734577,15553106086,78124628491
화인베스틸,2021년 1분기 보고서,00661847,60064054646,97633646535,-37569591889
퓨쳐스트림네트웍스,2021년 1분기 보고서,01061497,24712589984,69231664093,-44519074109
아모텍,2021년 1분기 보고서,00298447,148549361419,251924863210,-103375501791
삼영이엔씨,2021년 1분기 보고서,00288343,65474955273,25342065446,40132889827
선진뷰티사이언스,2021년 1분기 보고서,00132202,39152027121,54341180251,-15189153130
SK케미칼,2021년 1분기 보고서,01267170,961589928258,911780391090,49809537168
코리아센터,2021년 1분기 보고서,00540340,243591249508,7524598900,236066650608
대상홀딩스,2021년 1분기 보고서,00539274,34502253680,23683531571,10818722109
TJ미디어,2021년 1분기 보고서,00201733,28802127303,27834857612,967269691
애니젠,2021년 1분기 보고서,00808086,10674365573,19463219749,-8788854176
엠투아이,2021년 1분기 보고서,00670766,40383119188,11945674738,28437444450
에스씨엠생명과학,2021년 1분기 보고서,01110474,31906316926,14105303917,17801013009
이트론,2021년 1분기 보고서,00480756,34531033838,15394513927,19136519911
이녹스첨단소재,2021년 1분기 보고서,01237540,206715142179,138825429538,67889712641
바이오리더스,2021년 1분기 보고서,00587925,57051593478,-110421276677,167472870155
화천기계,2021년 1분기 보고서,00166500,72798529988,35699714719,37098815269
원익머트리얼즈,2021년 1분기 보고서,00623661,111960733737,31168680955,80792052782
멜파스,2021년 1분기 보고서,00609315,15127296196,31549117084,-16421820888
부광약품,2021년 1분기 보고서,00123718,208869167891,105715997282,103153170609
케이티스카이라이프,2021년 1분기 보고서,00349097,411597075923,119554915000,292042160923
아바코,2021년 1분기 보고서,00442145,170331584856,90218586983,80112997873
미원화학,2021년 1분기 보고서,00855163,56600214410,27380704149,29219510261
차바이오텍,2021년 1분기 보고서,00525679,116494465111,157641693941,-41147228830
일진다이아,2021년 1분기 보고서,00508274,91179002730,27206391894,63972610836
티와이홀딩스,2021년 1분기 보고서,01497869,13973583805,24574701367,-10601117562
엑시콘,2021년 1분기 보고서,00611736,52692046066,21045142057,31646904009
중앙백신,2021년 1분기 보고서,00415327,46128966675,25614463274,20514503401
팜스빌,2021년 1분기 보고서,00986898,27018946523,3964669000,23054277523
SG&G,2021년 1분기 보고서,00264714,11045280012,49219244745,-38173964733
