,ma120,ma120_slope,ma20,ma20_slope,ma5,ma5_slope,ma60,ma60_slope,weighted_avg,날짜,종목명,종목코드,주식_종가,시가총액
0,52136.666666666664,0.00473914711335597,35655.0,-0.0012620950778291964,36580.0,-0.007381082558775287,43695.0,0.00787656863866951,-0.004025508459235026,2021.06.22,지놈앤컴퍼니,314130,35950,489500000000
180,36505.0,0.0010386705017576836,31922.5,0.004385621426893257,31480.0,0.018424396442185513,35308.333333333336,0.006490441350011732,0.013553959632888291,2021.06.22,웹젠,069080,29250,139900000000
360,8976.333333333334,0.00043633257826128634,8765.5,-0.0013690034795505106,8822.0,-0.004307413284969395,8780.666666666666,-0.00034165970693189585,-0.0030859686729203337,2021.06.22,우리넷,115440,8900,80900000000
540,19377.5,-0.0027093278286672686,25300.0,0.005138339920948616,24390.0,0.003280032800328003,22735.0,-0.003738728832197053,0.0026503500297498563,2021.06.22,마이크로디지탈,305090,23900,172500000000
720,1631.2916666666667,-0.0022221654619294525,1798.0,-0.004310344827586207,1858.0,0.0005382131324004305,1731.5,-0.0031764366156511693,-0.0009409823641185512,2021.06.22,나노,187790,1830,48200000000
900,2634.2083333333335,-0.004001834833362447,3080.25,-0.0016232448664881098,3056.0,0.0,3237.0833333333335,-0.002368387179817316,-0.0007615794329474759,2021.06.22,손오공,066910,3030,81800000000
1080,11562.25,0.0012612885323647163,10483.0,-0.002146332156825336,11040.0,0.0009057971014492754,11299.333333333334,-0.0005900053100478977,0.00016356558019040783,2021.06.22,새로닉스,042600,10850,132300000000
1260,11225.833333333334,-0.00025981738549487454,11440.0,-0.002403846153846154,11630.0,-0.004299226139294927,11168.333333333334,-0.0017161617669005712,-0.003459873267275734,2021.06.22,피씨디렉트,051380,11650,88600000000
1440,821.5,-0.02830188679245283,3100.0,0.0,3100.0,0.0,1333.0,-0.03488372093023256,-0.004903466432645897,2021.06.22,이큐셀,160600,3100,18600000000
1620,2798.7083333333335,-0.0005806249906951123,2990.75,-0.003009278609044554,3038.0,0.0,2855.9166666666665,-0.002538589477984302,-0.0008847459191420968,2021.06.22,케이엠제약,225430,3015,83500000000
1800,2139.25,-0.0003311129289860862,2257.75,0.00044291883512346365,2174.0,0.0,2184.1666666666665,-0.0004578405188859214,2.6244068686796276e-05,2021.06.22,교보9호스팩,331520,2160,8400000000
1980,2352.5833333333335,0.0014345931777124436,2320.0,-0.006357758620689655,2345.0,0.0,2219.75,-0.0018395464954762855,-0.0013837767147999375,2021.06.22,네추럴FNP,086220,2295,22200000000
2160,5081.75,0.00039356520883553894,4452.0,-0.0019092542677448339,4506.0,-0.0011096316023080338,5051.083333333333,0.0025077128668768026,-0.0008326618479197317,2021.06.22,로보로보,215100,4470,78800000000
2340,5626.75,-0.002688052605855956,6438.5,-0.004970101731769822,6564.0,-0.0033516148689823277,6170.833333333333,-0.003835246455097809,-0.0036904972869950554,2021.06.22,DSR제강,069730,6740,95800000000
